station,pinyin,telecode
皋兰,gaolan,GEJ
高楼房,gaoloufang,GFM
归流河,guiliuhe,GHT
关林,guanlin,GLF
甘洛,ganluo,VOW
郭磊庄,guoleizhuang,GLP
高密,gaomi,GMK
公庙子,gongmiaozi,GMC
工农湖,gongnonghu,GRT
广宁寺南,guangningsinan,GNT
广南卫,guangnanwei,GNM
高平,gaoping,GPF
甘泉北,ganquanbei,GEY
共青城,gongqingcheng,GAG
甘旗卡,ganqika,GQD
甘泉,ganquan,GQY
高桥镇,gaoqiaozhen,GZD
灌水,guanshui,GST
赶水,ganshui,GSW
孤山口,gushankou,GSP
果松,guosong,GSL
高山子,gaoshanzi,GSD
嘎什甸子,gashidianzi,GXD
高台,gaotai,GTJ
高滩,gaotan,GAY
古田,gutian,GTS
官厅,guanting,GTP
官厅西,guantingxi,KEP
贵溪,guixi,GXG
涡阳,guoyang,GYH
巩义,gongyi,GXF
高邑,gaoyi,GIP
巩义南,gongyinan,GYF
广元南,guangyuannan,GAW
固原,guyuan,GUJ
菇园,guyuan,GYL
公营子,gongyingzi,GYD
光泽,guangze,GZS
古镇,guzhen,GNQ
虢镇,guozhen,GZY
瓜州,guazhou,GZJ
高州,gaozhou,GSQ
固镇,guzhen,GEH
盖州,gaizhou,GXT
官字井,guanzijing,GOT
革镇堡,gezhenpu,GZT
冠豸山,guanzhaishan,GSS
盖州西,gaizhouxi,GAT
红安,hongan,HWN
淮安南,huaiannan,AMH
红安西,honganxi,VXN
海安县,haianxian,HIH
黄柏,huangbai,HBL
海北,haibei,HEB
鹤壁,hebi,HAF
会昌北,huichangbei,XEG
华城,huacheng,VCQ
河唇,hechun,HCZ
汉川,hanchuan,HCN
海城,haicheng,HCT
合川,hechuan,WKW
黑冲滩,heichongtan,HCJ
黄村,huangcun,HCP
海城西,haichengxi,HXT
化德,huade,HGC
洪洞,hongtong,HDV
霍尔果斯,huoerguosi,HFR
横峰,hengfeng,HFG
韩府湾,hanfuwan,HXJ
汉沽,hangu,HGP
黄瓜园,huangguayuan,HYM
红光镇,hongguangzhen,IGW
浑河,hunhe,HHT
红花沟,honghuagou,VHD
黄花筒,huanghuatong,HUD
贺家店,hejiadian,HJJ
和静,hejing,HJR
红江,hongjiang,HFM
黑井,heijing,HIM
获嘉,huojia,HJF
河津,hejin,HJV
涵江,hanjiang,HJS
华家,huajia,HJT
杭锦后旗,hangjinhouqi,HDC
河间西,hejianxi,HXP
花家庄,huajiazhuang,HJM
河口南,hekounan,HKJ
黄口,huangkou,KOH
湖口,hukou,HKG
呼兰,hulan,HUB
葫芦岛北,huludaobei,HPD
浩良河,haolianghe,HHB
哈拉海,halahai,HIT
鹤立,heli,HOB
桦林,hualin,HIB
黄陵,huangling,ULY
海林,hailin,HRB
虎林,hulin,VLB
寒岭,hanling,HAT
和龙,helong,HLL
海龙,hailong,HIL
哈拉苏,halasu,HAX
呼鲁斯太,hulusitai,VTJ
火连寨,huolianzhai,HLT
黄梅,huangmei,VEH
韩麻营,hanmaying,HYP
黄泥河,huangnihe,HHL
海宁,haining,HNH
惠农,huinong,HMJ
和平,heping,VAQ
花棚子,huapengzi,HZM
花桥,huaqiao,VQH
宏庆,hongqing,HEY
怀仁,huairen,HRV
华容,huarong,HRN
华山北,huashanbei,HDY
黄松甸,huangsongdian,HDL
和什托洛盖,heshituoluogai,VSR
红山,hongshan,VSB
汉寿,hanshou,VSQ
衡山,hengshan,HSQ
黑水,heishui,HOT
惠山,huishan,VCH
虎什哈,hushiha,HHP
红寺堡,hongsipu,HSJ
虎石台,hushitai,HUT
海石湾,haishiwan,HSO
衡山西,hengshanxi,HEQ
红砂岘,hongshaxian,VSJ
黑台,heitai,HQB
桓台,huantai,VTK
和田,hetian,VTR
会同,huitong,VTQ
海坨子,haituozi,HZT
黑旺,heiwang,HWK
海湾,haiwan,RWH
红星,hongxing,VXB
徽县,huixian,HYY
红兴隆,hongxinglong,VHB
换新天,huanxintian,VTB
红岘台,hongxiantai,HTJ
红彦,hongyan,VIX
合阳,heyang,HAY
海阳,haiyang,HYK
衡阳东,hengyangdong,HVQ
华蓥,huaying,HUW
汉阴,hanyin,HQY
黄羊滩,huangyangtan,HGJ
汉源,hanyuan,WHW
河源,heyuan,VIQ
花园,huayuan,HUN
湟源,huangyuan,HNO
黄羊镇,huangyangzhen,HYJ
湖州,huzhou,VZH
化州,huazhou,HZZ
黄州,huangzhou,VON
霍州,huozhou,HZV
惠州西,huizhouxi,VXQ
巨宝,jubao,JRT
靖边,jingbian,JIY
金宝屯,jinbaotun,JBD
晋城北,jinchengbei,JEF
金昌,jinchang,JCJ
鄄城,juancheng,JCK
交城,jiaocheng,JNV
建昌,jianchang,JFD
峻德,junde,JDB
井店,jingdian,JFP
鸡东,jidong,JOB
江都,jiangdu,UDH
鸡冠山,jiguanshan,JST
金沟屯,jingoutun,VGP
静海,jinghai,JHP
金河,jinhe,JHX
锦河,jinhe,JHB
精河,jinghe,JHR
精河南,jinghenan,JIR
江华,jianghua,JHZ
建湖,jianhu,AJH
纪家沟,jijiagou,VJD
晋江,jinjiang,JJS
姜家,jiangjia,JJB
江津,jiangjin,JJW
金坑,jinkeng,JKT
芨岭,jiling,JLJ
金马村,jinmacun,JMM
江门,jiangmen,JWQ
角美,jiaomei,JES
莒南,junan,JOK
井南,jingnan,JNP
建瓯,jianou,JVS
经棚,jingpeng,JPC
江桥,jiangqiao,JQX
九三,jiusan,SSX
金山北,jinshanbei,EGH
京山,jingshan,JCN
建始,jianshi,JRN
嘉善,jiashan,JSH
稷山,jishan,JVV
吉舒,jishu,JSL
建设,jianshe,JET
甲山,jiashan,JOP
建三江,jiansanjiang,JIB
嘉善南,jiashannan,EAH
金山屯,jinshantun,JTB
江所田,jiangsuotian,JOM
景泰,jingtai,JTJ
九台南,jiutainan,JNL
吉文,jiwen,JWX
进贤,jinxian,JUG
莒县,juxian,JKK
嘉祥,jiaxiang,JUK
介休,jiexiu,JXV
嘉兴,jiaxing,JXH
井陉,jingxing,JJP
嘉兴南,jiaxingnan,EPH
夹心子,jiaxinzi,JXT
揭阳,jieyang,JRQ
建阳,jianyang,JYS
姜堰,jiangyan,UEH
简阳,jianyang,JYW
巨野,juye,JYK
江永,jiangyong,JYZ
靖远,jingyuan,JYJ
缙云,jinyun,JYH
江源,jiangyuan,SZL
济源,jiyuan,JYF
靖远西,jingyuanxi,JXJ
胶州北,jiaozhoubei,JZK
焦作东,jiaozuodong,WEF
靖州,jingzhou,JEQ
荆州,jingzhou,JBN
金寨,jinzhai,JZH
胶州,jiaozhou,JXK
晋州,jinzhou,JXP
锦州南,jinzhounan,JOD
焦作,jiaozuo,JOF
旧庄窝,jiuzhuangwo,JVP
金杖子,jinzhangzi,JYD
开安,kaian,KAT
库车,kuche,KCR
康城,kangcheng,KCP
库都尔,kuduer,KDX
宽甸,kuandian,KDT
克东,kedong,KOB
昆独仑召,kundulunzhao,KDC
开江,kaijiang,KAW
康金井,kangjinjing,KJB
喀喇其,kalaqi,KQX
开鲁,kailu,KLC
克拉玛依,kelamayi,KHR
口前,kouqian,KQL
奎山,kuishan,KAB
昆山,kunshan,KSH
克山,keshan,KSB
开通,kaitong,KTT
康熙岭,kangxiling,KXZ
昆阳,kunyang,KAM
克一河,keyihe,KHX
开原西,kaiyuanxi,KXT
康庄,kangzhuang,KZP
来宾,laibin,UBZ
老边,laobian,LLT
灵宝西,lingbaoxi,LPF
龙川,longchuan,LUQ
乐昌,lechang,LCQ
黎城,licheng,UCP
聊城,liaocheng,UCK
蓝村,lancun,LCK
两当,liangdang,LDY
林东,lindong,LRC
乐都,ledu,LDO
梁底下,liangdixia,LDP
六道河子,liudaohezi,LVP
鲁番,lufan,LVM
廊坊,langfang,LJP
落垡,luofa,LOP
廊坊北,langfangbei,LFP
老府,laofu,UFD
兰岗,langang,LNB
龙骨甸,longgudian,LGM
芦沟,lugou,LOM
龙沟,longgou,LGJ
拉古,lagu,LGB
临海,linhai,UFH
林海,linhai,LXX
拉哈,laha,LHX
凌海,linghai,JID
柳河,liuhe,LNL
六合,liuhe,KLH
龙华,longhua,LHP
滦河沿,luanheyan,UNP
六合镇,liuhezhen,LEX
亮甲店,liangjiadian,LRT
刘家店,liujiadian,UDT
刘家河,liujiahe,LVT
连江,lianjiang,LKS
李家,lijia,LJB
罗江,luojiang,LJW
廉江,lianjiang,LJZ
庐江,lujiang,UJH
两家,liangjia,UJT
龙江,longjiang,LJX
龙嘉,longjia,UJL
莲江口,lianjiangkou,LHB
蔺家楼,linjialou,ULK
李家坪,lijiaping,LIJ
兰考,lankao,LKF
林口,linkou,LKB
路口铺,lukoupu,LKQ
老莱,laolai,LAX
拉林,lalin,LAB
陆良,luliang,LRM
龙里,longli,LLW
临澧,linli,LWQ
兰棱,lanling,LLB
零陵,lingling,UWZ
卢龙,lulong,UAP
喇嘛甸,lamadian,LMX
里木店,limudian,LMB
洛门,luomen,LMJ
龙南,longnan,UNG
梁平,liangping,UQW
罗平,luoping,LPM
落坡岭,luopoling,LPP
六盘山,liupanshan,UPJ
乐平市,lepingshi,LPG
临清,linqing,UQK
龙泉寺,longquansi,UQJ
乐山北,leshanbei,UTW
乐善村,leshancun,LUM
冷水江东,lengshuijiangdong,UDQ
连山关,lianshanguan,LGT
流水沟,liushuigou,USP
陵水,lingshui,LIQ
罗山,luoshan,LRN
鲁山,lushan,LAF
丽水,lishui,USH
梁山,liangshan,LMK
灵石,lingshi,LSV
露水河,lushuihe,LUL
庐山,lushan,LSG
林盛堡,linshengpu,LBT
柳树屯,liushutun,LSD
龙山镇,longshanzhen,LAS
梨树镇,lishuzhen,LSB
李石寨,lishizhai,LET
黎塘,litang,LTZ
轮台,luntai,LAR
芦台,lutai,LTP
龙塘坝,longtangba,LBM
濑湍,laituan,LVZ
骆驼巷,luotuoxiang,LTJ
李旺,liwang,VLJ
莱芜东,laiwudong,LWK
狼尾山,langweishan,LRJ
灵武,lingwu,LNJ
莱芜西,laiwuxi,UXK
朗乡,langxiang,LXB
陇县,longxian,LXY
临湘,linxiang,LXQ
芦溪,luxi,LUG
莱西,laixi,LXK
林西,linxi,LXC
滦县,luanxian,UXP
略阳,lueyang,LYY
莱阳,laiyang,LYK
辽阳,liaoyang,LYT
临沂北,linyibei,UYK
凌源东,lingyuandong,LDD
连云港,lianyungang,UIH
临颍,linying,LNF
老营,laoying,LXL
龙游,longyou,LMH
罗源,luoyuan,LVS
林源,linyuan,LYX
涟源,lianyuan,LAQ
涞源,laiyuan,LYP
耒阳西,leiyangxi,LPQ
临泽,linze,LEJ
龙爪沟,longzhuagou,LZT
雷州,leizhou,UAQ
六枝,liuzhi,LIW
鹿寨,luzhai,LIZ
来舟,laizhou,LZS
龙镇,longzhen,LZA
拉鲊,lazha,LEM
兰州新区,lanzhouxinqu,LQJ
马鞍山,maanshan,MAH
毛坝,maoba,MBY
毛坝关,maobaguan,MGY
麻城北,machengbei,MBN
渑池,mianchi,MCF
明城,mingcheng,MCL
庙城,miaocheng,MAP
渑池南,mianchinan,MNF
茅草坪,maocaoping,KPM
猛洞河,mengdonghe,MUQ
磨刀石,modaoshi,MOB
弥渡,midu,MDF
帽儿山,maoershan,MRB
明港,minggang,MGN
梅河口,meihekou,MHL
马皇,mahuang,MHZ
孟家岗,mengjiagang,MGB
美兰,meilan,MHQ
汨罗东,miluodong,MQQ
马莲河,malianhe,MHB
茅岭,maoling,MLZ
庙岭,miaoling,MLL
茂林,maolin,MLD
穆棱,muling,MLB
马林,malin,MID
马龙,malong,MGM
木里图,mulitu,MUD
汨罗,miluo,MLQ
玛纳斯湖,manasihu,MNR
冕宁,mianning,UGW
沐滂,mupang,MPQ
马桥河,maqiaohe,MQB
闽清,minqing,MQS
民权,minquan,MQF
明水河,mingshuihe,MUT
麻山,mashan,MAB
眉山,meishan,MSW
漫水湾,manshuiwan,MKW
茂舍祖,maoshezu,MOM
米沙子,mishazi,MST
美溪,meixi,MEB
勉县,mianxian,MVY
麻阳,mayang,MVQ
密云北,miyunbei,MUP
米易,miyi,MMW
麦园,maiyuan,MYS
墨玉,moyu,MUR
庙庄,miaozhuang,MZJ
米脂,mizhi,MEY
明珠,mingzhu,MFQ
宁安,ningan,NAB
农安,nongan,NAT
南博山,nanboshan,NBK
南仇,nanqiu,NCK
南城司,nanchengsi,NSP
宁村,ningcun,NCZ
宁德,ningde,NES
南观村,nanguancun,NGP
南宫东,nangongdong,NFP
南关岭,nanguanling,NLT
宁国,ningguo,NNH
宁海,ninghai,NHH
南河川,nanhechuan,NHJ
南华,nanhua,NHS
泥河子,nihezi,NHD
宁家,ningjia,NVT
南靖,nanjing,NJS
牛家,niujia,NJB
能家,nengjia,NJD
南口,nankou,NKP
南口前,nankouqian,NKT
南朗,nanlang,NNQ
乃林,nailin,NLD
尼勒克,nileke,NIR
那罗,naluo,ULZ
宁陵县,ninglingxian,NLF
奈曼,naiman,NMD
宁明,ningming,NMZ
南木,nanmu,NMX
南平南,nanpingnan,NNS
那铺,napu,NPZ
南桥,nanqiao,NQD
那曲,naqu,NQO
暖泉,nuanquan,NQJ
南台,nantai,NTT
南头,nantou,NOQ
宁武,ningwu,NWV
南湾子,nanwanzi,NWP
南翔北,nanxiangbei,NEH
宁乡,ningxiang,NXQ
内乡,neixiang,NXF
牛心台,niuxintai,NXT
南峪,nanyu,NUP
娘子关,niangziguan,NIP
南召,nanzhao,NAF
南杂木,nanzamu,NZT
蓬安,pengan,PAW
平安,pingan,PAL
平安驿,pinganyi,PNO
磐安镇,pananzhen,PAJ
平安镇,pinganzhen,PZT
蒲城东,puchengdong,PEY
蒲城,pucheng,PCY
裴德,peide,PDB
偏店,piandian,PRP
平顶山西,pingdingshanxi,BFF
坡底下,podixia,PXJ
瓢儿屯,piaoertun,PRT
平房,pingfang,PFB
平岗,pinggang,PGL
平关,pingguan,PGM
盘关,panguan,PAM
平果,pingguo,PGZ
徘徊北,paihuaibei,PHP
平河口,pinghekou,PHM
平湖,pinghu,PHQ
盘锦北,panjinbei,PBD
潘家店,panjiadian,PDP
皮口南,pikounan,PKT
普兰店,pulandian,PLT
偏岭,pianling,PNT
平山,pingshan,PSB
彭山,pengshan,PSW
皮山,pishan,PSR
磐石,panshi,PSL
平社,pingshe,PSV
彭水,pengshui,PHW
平台,pingtai,PVT
平田,pingtian,PTM
莆田,putian,PTS
葡萄菁,putaojing,PTW
普湾,puwan,PWT
平旺,pingwang,PWV
平型关,pingxingguan,PGV
普雄,puxiong,POW
郫县,pixian,PWW
平洋,pingyang,PYX
彭阳,pengyang,PYJ
平遥,pingyao,PYV
平邑,pingyi,PIK
平原堡,pingyuanpu,PPJ
平原,pingyuan,PYK
平峪,pingyu,PYP
彭泽,pengze,PZG
邳州,pizhou,PJH
平庄,pingzhuang,PZD
泡子,paozi,POD
平庄南,pingzhuangnan,PND
乾安,qianan,QOT
庆安,qingan,QAB
迁安,qianan,QQP
祁东北,qidongbei,QRQ
七甸,qidian,QDM
曲阜东,qufudong,QAK
庆丰,qingfeng,QFT
奇峰塔,qifengta,QVP
曲阜,qufu,QFK
琼海,qionghai,QYQ
秦皇岛,qinhuangdao,QTP
千河,qianhe,QUY
清河,qinghe,QIP
清河门,qinghemen,QHD
清华园,qinghuayuan,QHP
渠旧,qujiu,QJZ
潜江,qianjiang,QJN
全椒,quanjiao,INH
秦家,qinjia,QJB
綦江,qijiang,QJW
祁家堡,qijiapu,QBT
清涧县,qingjianxian,QNY
秦家庄,qinjiazhuang,QZV
七里河,qilihe,QLD
秦岭,qinling,QLY
渠黎,quli,QLZ
青龙,qinglong,QIB
青龙山,qinglongshan,QGH
祁门,qimen,QIH
前磨头,qianmotou,QMP
青山,qingshan,QSB
确山,queshan,QSN
前山,qianshan,QXQ
清水,qingshui,QUJ
戚墅堰,qishuyan,QYH
青田,qingtian,QVH
桥头,qiaotou,QAT
青铜峡,qingtongxia,QTJ
前卫,qianwei,QWD
前苇塘,qianweitang,QWP
渠县,quxian,QRW
祁县,qixian,QXV
青县,qingxian,QXP
桥西,qiaoxi,QXJ
清徐,qingxu,QUV
旗下营,qixiaying,QXC
千阳,qianyang,QOY
沁阳,qinyang,QYF
泉阳,quanyang,QYL
祁阳北,qiyangbei,QVQ
七营,qiying,QYJ
庆阳山,qingyangshan,QSJ
清远,qingyuan,QBQ
清原,qingyuan,QYT
钦州东,qinzhoudong,QDZ
钦州,qinzhou,QRZ
青州市,qingzhoushi,QZK
瑞安,ruian,RAH
荣昌,rongchang,RCW
瑞昌,ruichang,RCG
如皋,rugao,RBH
容桂,ronggui,RUQ
任丘,renqiu,RQP
乳山,rushan,ROK
融水,rongshui,RSZ
热水,reshui,RSD
容县,rongxian,RXZ
饶阳,raoyang,RVP
汝阳,ruyang,RYF
绕阳河,raoyanghe,RHD
汝州,ruzhou,ROF
石坝,shiba,OBJ
上板城,shangbancheng,SBP
施秉,shibing,AQW
上板城南,shangbanchengnan,OBP
世博园,shiboyuan,ZWT
双城北,shuangchengbei,SBB
商城,shangcheng,SWN
莎车,shache,SCR
顺昌,shunchang,SCS
舒城,shucheng,OCH
神池,shenchi,SMV
沙城,shacheng,SCP
石城,shicheng,SCT
山城镇,shanchengzhen,SCL
山丹,shandan,SDJ
顺德,shunde,ORQ
绥德,suide,ODY
水洞,shuidong,SIL
商都,shangdu,SXC
十渡,shidu,SEP
四道湾,sidaowan,OUD
顺德学院,shundexueyuan,OJQ
绅坊,shenfang,OLH
双丰,shuangfeng,OFB
四方台,sifangtai,STB
水富,shuifu,OTW
三关口,sanguankou,OKJ
桑根达来,sanggendalai,OGC
韶关,shaoguan,SNQ
上高镇,shanggaozhen,SVK
上杭,shanghang,JBS
沙海,shahai,SED
松河,songhe,SBM
沙河,shahe,SHP
沙河口,shahekou,SKT
赛汗塔拉,saihantala,SHC
沙河市,shaheshi,VOP
沙后所,shahousuo,SSD
山河屯,shanhetun,SHL
三河县,sanhexian,OXP
四合永,siheyong,OHD
三汇镇,sanhuizhen,OZW
双河镇,shuanghezhen,SEL
石河子,shihezi,SZR
三合庄,sanhezhuang,SVP
三家店,sanjiadian,ODP
水家湖,shuijiahu,SQH
沈家河,shenjiahe,OJJ
松江河,songjianghe,SJL
尚家,shangjia,SJB
孙家,sunjia,SUB
沈家,shenjia,OJB
双吉,shuangji,SML
松江,songjiang,SAH
三江口,sanjiangkou,SKD
司家岭,sijialing,OLK
松江南,songjiangnan,IMH
石景山南,shijingshannan,SRP
邵家堂,shaojiatang,SJJ
三江县,sanjiangxian,SOZ
三家寨,sanjiazhai,SMM
十家子,shijiazi,SJD
松江镇,songjiangzhen,OZL
施家嘴,shijiazui,SHM
深井子,shenjingzi,SWT
什里店,shilidian,OMP
疏勒,shule,SUR
疏勒河,shulehe,SHJ
舍力虎,shelihu,VLD
石磷,shilin,SPB
双辽,shuangliao,ZJD
绥棱,suiling,SIB
石岭,shiling,SOL
石林,shilin,SLM
石林南,shilinnan,LNM
石龙,shilong,SLQ
萨拉齐,salaqi,SLC
索伦,suolun,SNT
商洛,shangluo,OLY
沙岭子,shalingzi,SLP
石门县北,shimenxianbei,VFQ
三门峡南,sanmenxianan,SCF
三门县,sanmenxian,OQH
石门县,shimenxian,OMQ
三门峡西,sanmenxiaxi,SXF
肃宁,suning,SYP
宋,song,SOB
双牌,shuangpai,SBZ
四平东,sipingdong,PPT
遂平,suiping,SON
沙坡头,shapotou,SFJ
沙桥,shaqiao,SQM
商丘南,shangqiunan,SPF
水泉,shuiquan,SID
石泉县,shiquanxian,SXY
石桥子,shiqiaozi,SQT
石人城,shirencheng,SRB
石人,shiren,SRL
山市,shanshi,SQB
神树,shenshu,SWB
鄯善,shanshan,SSR
三水,sanshui,SJQ
泗水,sishui,OSK
石山,shishan,SAD
松树,songshu,SFT
首山,shoushan,SAT
三十家,sanshijia,SRD
三十里堡,sanshilipu,SST
松树镇,songshuzhen,SSL
松桃,songtao,MZQ
索图罕,suotuhan,SHX
三堂集,santangji,SDH
石头,shitou,OTB
神头,shentou,SEV
沙沱,shatuo,SFM
上万,shangwan,SWP
孙吴,sunwu,SKB
沙湾县,shawanxian,SXR
遂溪,suixi,SXZ
沙县,shaxian,SAS
歙县,shexian,OVH
绍兴,shaoxing,SOH
石岘,shixian,SXL
上西铺,shangxipu,SXM
石峡子,shixiazi,SXJ
绥阳,suiyang,SYB
沭阳,shuyang,FMH
寿阳,shouyang,SYV
水洋,shuiyang,OYP
三阳川,sanyangchuan,SYJ
上腰墩,shangyaodun,SPJ
三营,sanying,OEJ
顺义,shunyi,SOP
三义井,sanyijing,OYD
三源浦,sanyuanpu,SYL
三原,sanyuan,SAY
上虞,shangyu,BDH
上园,shangyuan,SUD
水源,shuiyuan,OYJ
桑园子,sangyuanzi,SAJ
绥中北,suizhongbei,SND
苏州北,suzhoubei,OHH
宿州东,suzhoudong,SRH
深圳东,shenzhendong,BJQ
深州,shenzhou,OZP
孙镇,sunzhen,OZY
绥中,suizhong,SZD
尚志,shangzhi,SZB
师庄,shizhuang,SNM
松滋,songzi,SIN
师宗,shizong,SEM
苏州园区,suzhouyuanqu,KAH
苏州新区,suzhouxinqu,ITH
泰安,taian,TMK
台安,taian,TID
通安驿,tonganyi,TAJ
桐柏,tongbai,TBF
通北,tongbei,TBB
汤池,tangchi,TCX
桐城,tongcheng,TTH
郯城,tancheng,TZK
铁厂,tiechang,TCL
桃村,taocun,TCK
通道,tongdao,TRQ
田东,tiandong,TDZ
天岗,tiangang,TGL
土贵乌拉,tuguiwula,TGC
通沟,tonggou,TOL
太谷,taigu,TGV
塔哈,taha,THX
棠海,tanghai,THM
唐河,tanghe,THF
泰和,taihe,THG
太湖,taihu,TKH
团结,tuanjie,TIX
谭家井,tanjiajing,TNJ
陶家屯,taojiatun,TOT
唐家湾,tangjiawan,PDQ
统军庄,tongjunzhuang,TZP
泰康,taikang,TKX
吐列毛杜,tuliemaodu,TMD
图里河,tulihe,TEX
铜陵,tongling,TJH
田林,tianlin,TFZ
亭亮,tingliang,TIZ
铁力,tieli,TLB
铁岭西,tielingxi,PXT
图们北,tumenbei,QSL
天门,tianmen,TMN
天门南,tianmennan,TNN
太姥山,taimushan,TLS
土牧尔台,tumuertai,TRC
土门子,tumenzi,TCJ
洮南,taonan,TVT
潼南,tongnan,TVW
太平川,taipingchuan,TIT
太平镇,taipingzhen,TEB
图强,tuqiang,TQX
台前,taiqian,TTK
天桥岭,tianqiaoling,TQL
土桥子,tuqiaozi,TQJ
汤山城,tangshancheng,TCT
桃山,taoshan,TAB
塔石嘴,tashizui,TIM
通途,tongtu,TUT
汤旺河,tangwanghe,THB
同心,tongxin,TXJ
土溪,tuxi,TSW
桐乡,tongxiang,TCH
田阳,tianyang,TRZ
天义,tianyi,TND
汤阴,tangyin,TYF
驼腰岭,tuoyaoling,TIL
太阳山,taiyangshan,TYJ
汤原,tangyuan,TYB
塔崖驿,tayayi,TYP
滕州东,tengzhoudong,TEK
台州,taizhou,TZH
天祝,tianzhu,TZJ
滕州,tengzhou,TXK
天镇,tianzhen,TZV
桐子林,tongzilin,TEW
天柱山,tianzhushan,QWH
文安,wenan,WBP
武安,wuan,WAP
王安镇,wanganzhen,WVP
旺苍,wangcang,WEW
五叉沟,wuchagou,WCT
文昌,wenchang,WEQ
温春,wenchun,WDB
五大连池,wudalianchi,WRB
文登,wendeng,WBK
五道沟,wudaogou,WDL
五道河,wudaohe,WHP
文地,wendi,WNZ
卫东,weidong,WVT
武当山,wudangshan,WRN
望都,wangdu,WDP
乌尔旗汗,wuerqihan,WHX
潍坊,weifang,WFK
万发屯,wanfatun,WFB
王府,wangfu,WUT
瓦房店西,wafangdianxi,WXT
王岗,wanggang,WGB
武功,wugong,WGY
湾沟,wangou,WGL
吴官田,wuguantian,WGM
乌海,wuhai,WVC
苇河,weihe,WHB
卫辉,weihui,WHF
吴家川,wujiachuan,WCJ
五家,wujia,WUB
威箐,weiqing,WAM
午汲,wuji,WJP
渭津,weijin,WJL
王家湾,wangjiawan,WJJ
倭肯,woken,WQB
五棵树,wukeshu,WKT
五龙背,wulongbei,WBT
乌兰哈达,wulanhada,WLC
万乐,wanle,WEB
瓦拉干,walagan,WVX
温岭,wenling,VHH
五莲,wulian,WLK
乌拉特前旗,wulateqianqi,WQC
乌拉山,wulashan,WSC
卧里屯,wolitun,WLX
渭南北,weinanbei,WBY
